episode,reward,loss,epsilon,avg_delay,drops,steps
1,-308.8350,0.000000,0.9950,6.289,1,22
2,-2.9044,0.000000,0.9900,7.261,0,4
3,9.4792,0.000000,0.9851,5.208,0,2
4,-149.4968,0.000000,0.9801,6.783,0,14
5,19.0775,0.000000,0.9752,9.225,0,1
6,-58.2334,0.000000,0.9704,9.148,0,10
7,-540.1486,195.485809,0.9655,5.638,0,29
8,-317.7212,230.119983,0.9607,8.439,0,23
9,-728.6517,169.293454,0.9559,5.829,0,41
10,-63.2099,158.921377,0.9511,5.350,0,6
11,-415.9875,232.446051,0.9464,6.149,2,27
12,-183.4755,198.561473,0.9416,7.927,0,18
13,-1.4658,194.437098,0.9369,4.886,0,3
14,18.7623,250.499466,0.9322,12.377,0,1
15,17.3045,240.323242,0.9276,8.985,0,3
16,-630.4919,217.687653,0.9229,8.538,0,35
17,-185.2711,201.775170,0.9183,5.857,0,13
18,19.6810,283.539246,0.9137,3.190,0,1
19,-327.2478,205.929495,0.9092,9.078,0,22
20,-14.1179,207.937009,0.9046,10.295,0,5
21,9.2793,369.852997,0.9001,7.207,0,2
22,-290.8236,324.395423,0.8956,6.367,0,21
23,-68.1853,315.532825,0.8911,8.185,0,10
24,-14.2925,237.131982,0.8867,7.154,0,7
25,-68.8642,284.994869,0.8822,11.080,0,8
26,-44.5750,278.310573,0.8778,6.536,0,7
27,16.8936,299.412060,0.8734,7.766,0,4
28,-44.2876,264.580650,0.8691,5.360,0,8
29,17.7370,283.462891,0.8647,11.315,0,2
30,-78.6540,250.848302,0.8604,10.817,0,9
31,-787.3522,383.134799,0.8561,7.815,0,43
32,-495.5417,324.926684,0.8518,7.982,0,33
33,-486.3870,365.957467,0.8475,7.125,0,30
34,17.7233,391.037852,0.8433,7.589,0,3
35,-24.7299,338.574688,0.8391,11.825,0,4
36,-42.0356,385.789983,0.8349,5.089,0,6
37,-64.1948,364.363991,0.8307,6.991,0,8
38,-0.6341,366.363613,0.8266,3.171,0,4
39,-2.7165,384.226575,0.8224,5.433,0,5
40,-22.5143,377.379265,0.8183,6.286,0,4
41,19.5715,352.290314,0.8142,4.285,0,1
42,-95.1910,428.574048,0.8102,7.416,0,12
43,-449.3341,429.759232,0.8061,5.734,1,29
44,-221.5863,414.752433,0.8021,7.724,0,18
45,-203.9975,384.371819,0.7981,7.995,0,13
46,-700.6243,378.325510,0.7941,8.967,0,37
47,-401.0344,361.909769,0.7901,10.031,0,22
48,-44.2729,332.578966,0.7862,6.104,0,9
49,19.2447,477.323425,0.7822,7.553,0,1
50,-1123.4288,385.768981,0.7783,7.372,1,50
51,-3.5043,540.700979,0.7744,11.681,0,3
52,-46.7430,486.794599,0.7705,9.633,0,7
53,-257.8540,464.569413,0.7667,7.854,0,17
54,-147.1325,480.952566,0.7629,7.925,0,13
55,-280.2821,483.033769,0.7590,7.909,0,20
56,7.4185,601.198593,0.7553,8.605,0,4
57,-943.2159,473.152362,0.7515,6.413,1,50
58,-464.3632,458.544423,0.7477,7.182,0,27
59,18.4491,385.562775,0.7440,7.754,0,2
60,-967.9472,434.074470,0.7403,6.987,0,50
61,-159.1221,584.648605,0.7366,7.017,0,14
62,-217.0010,543.135704,0.7329,7.001,0,15
63,-261.2816,449.722687,0.7292,4.832,1,17
64,-127.6213,458.880300,0.7256,8.468,0,11
65,19.2779,738.150513,0.7219,7.221,0,1
66,-23.9294,604.388181,0.7183,9.824,0,6
67,-44.2374,595.456762,0.7147,10.594,0,6
68,16.9958,543.494186,0.7112,7.511,0,4
69,-126.7667,527.537750,0.7076,7.519,0,11
70,-0.3175,662.025757,0.7041,3.175,0,3
71,-172.2901,641.846241,0.7005,9.454,0,13
72,-62.9876,658.172215,0.6970,9.959,0,7
73,-25.9993,604.103023,0.6936,8.570,0,7
74,-44.8886,573.590054,0.6901,8.148,0,8
75,-42.9232,568.883331,0.6866,7.308,0,6
76,-76.5085,647.231218,0.6832,8.136,0,9
77,19.3700,343.761200,0.6798,6.300,0,1
78,-1002.8524,560.099150,0.6764,7.330,1,50
79,19.2784,740.855347,0.6730,7.216,0,1
80,-1033.1171,501.631071,0.6696,7.005,0,50
81,-13.7206,750.923193,0.6663,9.302,0,5
82,-509.2454,620.537257,0.6630,6.415,0,33
83,-21.0500,688.036758,0.6597,5.250,0,4
84,-490.7797,684.272968,0.6564,5.133,0,29
85,-557.6957,680.499666,0.6531,6.806,0,32
86,8.5278,525.871033,0.6498,4.907,0,4
87,19.4840,792.735413,0.6466,5.160,0,1
88,19.2373,506.886475,0.6433,7.627,0,1
89,-494.2825,630.020628,0.6401,6.210,0,29
90,-332.5934,640.555625,0.6369,7.871,0,22
91,8.4490,920.427897,0.6337,7.755,0,3
92,-23.6216,590.239368,0.6306,7.243,0,5
93,-942.9662,638.296388,0.6274,7.326,0,50
94,-326.9759,625.604018,0.6243,7.751,0,19
95,16.9712,655.460190,0.6211,7.572,0,4
96,-104.2051,707.336989,0.6180,8.410,0,9
97,-116.2138,760.798711,0.6149,6.904,0,12
