episode,reward,loss,epsilon,avg_delay,drops,steps
1,-88.9679,0.000000,0.9950,8.153,0,11
2,-108.2509,0.000000,0.9900,6.876,0,12
3,10.0000,0.000000,0.9851,0.000,0,1
4,-625.5611,232.731250,0.9801,6.766,0,34
5,10.0000,316.091034,0.9752,0.000,0,1
6,18.8545,333.929611,0.9704,5.728,0,2
7,18.7512,300.970291,0.9655,6.244,0,2
8,-976.0295,234.632334,0.9607,6.674,0,50
9,-285.1924,148.691960,0.9559,8.440,0,19
10,18.8568,155.437889,0.9511,5.716,0,2
11,0.0000,377.017090,0.9464,0.000,0,2
12,19.3761,311.714630,0.9416,6.239,0,1
13,9.6817,414.081772,0.9369,3.183,0,2
14,19.6834,309.864899,0.9322,3.166,0,1
15,-4.2582,410.724663,0.9276,10.645,0,4
16,9.6821,384.250320,0.9229,3.179,0,2
17,-0.7612,324.070160,0.9183,7.612,0,3
18,-23.6464,313.724111,0.9137,6.077,0,6
19,-22.8009,268.499585,0.9092,7.002,0,6
20,-34.6828,289.038134,0.9046,7.805,0,7
21,-561.0990,342.980380,0.9001,7.535,0,34
22,18.5381,364.113693,0.8956,4.873,0,3
23,18.7688,353.072327,0.8911,12.312,0,1
24,7.0917,356.647989,0.8867,7.271,0,5
25,18.8246,328.650421,0.8822,5.877,0,2
26,-178.4545,291.905707,0.8778,5.757,1,12
27,-12.9091,387.562363,0.8734,9.697,0,4
28,-262.3347,289.672848,0.8691,8.811,0,19
29,-107.6665,252.305208,0.8647,7.667,0,12
30,19.5756,307.889771,0.8604,4.244,0,1
31,-44.6686,279.152431,0.8561,6.669,0,7
32,19.1689,435.626282,0.8518,8.311,0,1
33,-181.7855,275.243635,0.8475,9.821,0,15
34,-106.1287,260.136841,0.8433,6.810,0,11
35,10.0000,255.282837,0.8391,0.000,0,1
36,-272.6733,221.992120,0.8349,7.921,0,20
37,10.0000,217.426178,0.8307,0.000,0,1
38,-344.5719,177.549011,0.8266,6.381,1,21
39,-12.8592,170.199265,0.8224,7.148,0,5
40,19.5724,164.171265,0.8183,4.276,0,1
41,-12.8013,360.135175,0.8142,7.003,0,5
42,-154.2860,327.589975,0.8102,6.123,0,12
43,-13.2497,299.410490,0.8061,5.416,0,7
44,-238.1918,274.350143,0.8021,8.192,0,17
45,-261.7078,248.856040,0.7981,7.317,0,19
46,10.0000,172.190781,0.7941,0.000,0,1
47,10.0000,314.938751,0.7901,0.000,0,1
48,18.4408,239.551933,0.7862,7.796,0,2
49,10.0000,247.634155,0.7822,0.000,0,1
50,-55.2350,226.417019,0.7783,6.544,0,11
51,-96.4712,234.740111,0.7744,8.089,0,9
52,-140.2680,210.864418,0.7705,7.334,0,15
53,-180.8216,247.434328,0.7667,5.822,1,14
54,-325.0937,182.012901,0.7629,8.385,0,23
55,-126.0641,148.121077,0.7590,5.053,0,12
56,17.8395,135.024910,0.7553,10.803,0,2
57,18.4585,131.472366,0.7515,15.415,0,1
58,9.0598,126.593124,0.7477,4.701,0,3
59,18.4536,116.079815,0.7440,7.732,0,2
60,18.7556,120.093235,0.7403,6.222,0,2
61,19.3717,189.220917,0.7366,6.283,0,1
62,16.0642,188.130950,0.7329,6.560,0,6
63,19.5712,127.564842,0.7292,4.288,0,1
64,18.1383,177.504140,0.7256,6.206,0,3
65,-2.8295,166.799679,0.7219,7.074,0,4
66,17.4051,197.214298,0.7183,6.487,0,4
67,-54.1742,168.884554,0.7147,5.963,0,8
68,-26.1685,141.717859,0.7112,12.337,0,5
69,17.4181,134.841685,0.7076,8.606,0,3
70,17.0600,133.955302,0.7041,5.880,0,5
71,18.9286,194.157364,0.7005,5.357,0,2
72,-34.3502,171.578131,0.6970,6.215,0,8
73,18.6446,221.861214,0.6936,6.777,0,2
