episode,reward,loss,epsilon,avg_delay,drops,steps
1,-11.0006,0.000000,0.0000,20.012,0,2
2,19.6588,0.000000,0.0000,6.823,0,2
3,-11.8167,0.000000,0.0000,36.333,0,3
4,-10.6857,0.000000,0.0000,13.714,0,2
5,-11.0854,0.000000,0.0000,21.708,0,2
6,-11.6903,0.000000,0.0000,33.805,0,3
7,-12.3134,0.000000,0.0000,46.268,0,5
8,-12.9747,0.000000,0.0000,59.494,0,3
9,18.8155,0.000000,0.0000,23.689,0,2
10,-10.7079,0.000000,0.0000,14.158,0,2
11,19.1455,0.000000,0.0000,17.090,0,2
12,-12.3085,0.000000,0.0000,46.169,0,4
13,-11.5186,0.000000,0.0000,30.372,0,3
14,-11.6818,0.000000,0.0000,33.636,0,2
15,18.6761,0.000000,0.0000,26.478,0,2
16,-11.6041,0.000000,0.0000,32.081,0,2
17,18.0919,0.000000,0.0000,38.161,0,4
18,18.1517,0.000000,0.0000,36.967,0,3
19,18.2543,0.000000,0.0000,34.914,0,4
20,-10.6207,0.000000,0.0000,12.414,0,2
21,18.4229,0.000000,0.0000,31.542,0,4
22,-11.3985,0.000000,0.0000,27.971,0,3
23,18.6712,0.000000,0.0000,26.577,0,3
24,-10.0000,0.000000,0.0000,0.000,0,1
25,-11.6977,0.000000,0.0000,33.955,0,3
26,-12.8481,0.000000,0.0000,56.963,0,4
27,19.6266,0.000000,0.0000,7.468,0,2
28,-11.6184,0.000000,0.0000,32.367,0,2
29,-11.5814,0.000000,0.0000,31.628,0,3
30,-12.0454,0.000000,0.0000,40.907,0,3
31,19.3363,0.000000,0.0000,13.273,0,2
32,-10.4756,0.000000,0.0000,9.511,0,2
33,-12.0373,0.000000,0.0000,40.746,0,3
34,17.2603,0.000000,0.0000,54.793,0,4
35,-11.7293,0.000000,0.0000,34.585,0,2
36,-13.0995,0.000000,0.0000,61.990,0,4
37,-11.3616,0.000000,0.0000,27.232,0,3
38,-11.7620,0.000000,0.0000,35.240,0,3
39,-10.6527,0.000000,0.0000,13.055,0,2
40,-10.0000,0.000000,0.0000,0.000,0,1
41,18.9695,0.000000,0.0000,20.609,0,2
42,-10.0000,0.000000,0.0000,0.000,0,1
43,-10.0000,0.000000,0.0000,0.000,0,1
44,-12.3813,0.000000,0.0000,47.625,0,4
45,-10.0000,0.000000,0.0000,0.000,0,1
46,18.7793,0.000000,0.0000,24.413,0,2
47,19.1554,0.000000,0.0000,16.892,0,2
48,17.9541,0.000000,0.0000,40.917,0,4
49,-13.8082,0.000000,0.0000,76.163,0,4
50,18.3314,0.000000,0.0000,33.372,0,3
51,-11.9338,0.000000,0.0000,38.676,0,2
52,19.4041,0.000000,0.0000,11.919,0,2
53,-11.3064,0.000000,0.0000,26.129,0,3
54,19.0218,0.000000,0.0000,19.564,0,2
55,-12.7759,0.000000,0.0000,55.517,0,5
