episode,reward,loss,epsilon,avg_delay,drops,steps
1,-45.9474,0.000000,0.9950,5.947,0,10
2,-4.4335,0.000000,0.9900,11.084,0,4
3,-107.6542,0.000000,0.9851,6.379,0,12
4,19.3768,0.000000,0.9801,6.232,0,1
5,-218.1198,0.000000,0.9752,9.537,0,19
6,17.1916,0.000000,0.9704,5.617,0,5
7,18.3281,0.000000,0.9655,4.180,0,4
8,9.3707,0.000000,0.9607,6.293,0,2
9,-12.5033,444.160004,0.9559,5.007,0,6
10,-36.4500,555.162842,0.9511,8.062,0,9
11,19.4800,908.341248,0.9464,5.200,0,1
12,-56.4489,530.559729,0.9416,7.165,0,10
13,9.5729,331.329597,0.9369,4.271,0,2
14,-293.3608,450.336119,0.9322,5.809,0,23
15,-179.4810,495.172441,0.9276,5.926,0,17
16,-85.6199,438.065994,0.9229,7.025,0,10
17,19.4833,524.213257,0.9183,5.167,0,1
18,-24.4703,443.306689,0.9137,6.386,0,7
19,-22.9449,372.481043,0.9092,4.908,0,6
20,8.6445,366.702077,0.9046,6.777,0,3
21,-42.6351,642.024187,0.9001,3.764,0,7
22,-729.7971,622.867249,0.8956,6.827,0,40
23,17.8248,699.370422,0.8911,7.251,0,3
24,-73.6371,634.540184,0.8867,7.274,0,8
25,-95.3680,735.228082,0.8822,7.669,0,10
26,-55.7929,658.807397,0.8778,7.241,0,9
27,-217.6638,571.253963,0.8734,6.387,0,15
28,16.9094,628.513967,0.8691,10.302,0,3
29,-2.9390,718.016251,0.8647,7.347,0,4
30,-82.7998,700.971432,0.8604,6.999,0,8
31,-216.9120,847.832867,0.8561,6.284,0,16
32,-11.6621,978.015778,0.8518,5.540,0,4
33,19.5722,1100.963379,0.8475,4.278,0,1
34,17.1147,983.338460,0.8433,9.618,0,3
35,-313.6626,796.320999,0.8391,6.831,0,22
36,-86.9895,1014.758698,0.8349,6.989,0,10
37,-312.5990,957.078767,0.8307,6.000,0,21
38,-1.3555,778.509399,0.8266,6.777,0,4
39,-48.0965,854.035004,0.8224,8.096,0,10
40,19.4840,1080.302856,0.8183,5.160,0,1
41,6.2735,882.408630,0.8142,9.316,0,5
42,-115.1160,1089.081378,0.8102,7.309,0,10
43,-287.3477,1030.589857,0.8061,6.123,0,18
44,9.4827,1161.020325,0.8021,5.173,0,2
45,-363.9538,1013.381350,0.7981,6.067,0,24
46,-14.0611,1018.215708,0.7941,8.122,0,6
47,9.2453,709.065826,0.7901,7.547,0,2
48,19.6809,1278.326904,0.7862,3.191,0,1
49,19.4817,1346.272827,0.7822,5.183,0,1
50,-155.1025,993.450165,0.7783,4.639,0,12
51,-12.4205,1182.816638,0.7744,6.051,0,5
52,19.4830,1408.714355,0.7705,5.170,0,1
53,-982.4754,1206.841525,0.7667,6.542,1,50
54,-1.8616,930.752518,0.7629,9.308,0,4
55,-422.5605,1094.943953,0.7590,8.356,0,29
56,7.0921,950.796191,0.7553,7.270,0,5
57,-194.2384,1036.670405,0.7515,7.064,0,13
58,-279.7814,1031.163915,0.7477,6.113,0,19
59,-270.9212,1100.483895,0.7440,7.582,1,21
60,16.1961,823.967026,0.7403,9.510,0,4
61,17.6126,1276.203003,0.7366,7.958,0,3
62,-454.5532,1146.817792,0.7329,8.184,0,31
63,-106.3652,1181.980064,0.7292,7.956,0,8
64,-108.5685,834.435944,0.7256,7.140,0,12
65,18.4419,993.428009,0.7219,7.791,0,2
66,-160.4534,955.470156,0.7183,6.969,0,16
67,-615.0238,974.943210,0.7147,8.072,0,36
68,-4.2007,1036.132685,0.7112,7.001,0,6
69,-952.9825,974.987344,0.7076,7.853,0,50
70,-33.2240,761.688741,0.7041,6.448,0,6
71,-546.0500,1123.355784,0.7005,7.295,0,29
72,16.9042,1214.863159,0.6970,10.319,0,3
73,-44.3509,912.056099,0.6936,7.251,0,8
74,10.0000,865.475830,0.6901,0.000,0,1
75,-148.6233,1189.585665,0.6866,7.839,0,13
76,16.9018,1243.923553,0.6832,7.745,0,4
77,19.4856,893.972717,0.6798,5.144,0,1
78,-21.2302,1212.976400,0.6764,12.302,0,3
79,16.8013,1152.322144,0.6730,10.662,0,3
80,19.3731,1333.514160,0.6696,6.269,0,1
81,-1.3610,1485.445435,0.6663,4.537,0,3
82,-266.4711,1439.227475,0.6630,7.647,1,19
83,-106.1594,1422.521362,0.6597,6.159,0,12
84,9.6833,1532.718811,0.6564,3.167,0,2
85,-727.9109,1527.005885,0.6531,6.202,0,45
86,-4.3425,1402.527905,0.6498,8.685,0,5
87,-48.7375,1515.280146,0.6466,7.281,0,12
88,-68.5111,1409.416918,0.6433,9.457,0,9
89,17.1040,993.489909,0.6401,9.653,0,3
90,18.4578,1203.456909,0.6369,15.422,0,1
91,8.4615,1025.542633,0.6337,15.385,0,2
92,-43.4464,1647.195496,0.6306,4.308,0,8
93,-976.5674,1419.725672,0.6274,6.812,0,50
94,-20.7502,1331.497833,0.6243,3.751,0,4
